Find|site_id:1312|Domain:01sms.ru|Page:sms-centr.com/verifysms.php|Find string:ajax|Date:2016-12-09 16:47:09
Find|site_id:1308|Domain:01show.ru|Page:01show.ru|Find string:End|Date:2016-12-09 16:47:03
Find|site_id:1304|Domain:01service.ru|Page:01service.ru/shop/en/category/bp-dlja-noutbukov/|Find string:End|Date:2016-12-09 16:47:02
Find|site_id:1303|Domain:01seo.ru|Page:01seo.ru|Find string:End|Date:2016-12-09 16:46:38
Find|site_id:1302|Domain:01sc.ru|Page:01sc.ru|Find string:End|Date:2016-12-09 16:46:37
Find|site_id:1298|Domain:01san.ru|Page:01san.ru/index.php?route=product/manufacturer&path=84_87|Find string:ajax|Date:2016-12-09 16:46:31
Find|site_id:1295|Domain:01s.ru|Page:01s.ru|Find string:End|Date:2016-12-09 16:45:53
Find|site_id:1292|Domain:01rus.ru|Page:01rus.ru/news/2315-2015-06-01-09-54-50#top|Find string:ajax|Date:2016-12-09 16:45:50
Find|site_id:1291|Domain:01rub.ru|Page:01rub.ru|Find string:ajax|Date:2016-12-09 16:45:30
Find|site_id:1287|Domain:01rostov.ru|Page:01rostov.ru/2016/12/08/23413/kostyum-malviny-svoimi-rukami-vykrojka#more-23413|Find string:End|Date:2016-12-09 16:45:25
Find|site_id:1274|Domain:01reg.ru|Page:01reg.ru|Find string:ajax|Date:2016-12-09 16:44:23
Find|site_id:1272|Domain:01rad.ru|Page:01rad.ru|Find string:End|Date:2016-12-09 16:44:20
Find|site_id:1270|Domain:01qz.ru|Page:01qz.ru|Find string:ajax|Date:2016-12-09 16:44:18
Find|site_id:1269|Domain:01q.ru|Page:01q.ru/1/radeon-hd-7870-skachat-drayver.html|Find string:End|Date:2016-12-09 16:44:17
Find|site_id:1268|Domain:01pult.ru|Page:01pult.ru|Find string:End|Date:2016-12-09 16:42:46
Find|site_id:1265|Domain:01proekt.ru|Page:01proekt.ru|Find string:End|Date:2016-12-09 16:42:43
Find|site_id:1263|Domain:01pro.ru|Page:01pro.ru/w21/index.php?title=%D0%97%D0%B0%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0&oldid=2298|Find string:ajax|Date:2016-12-09 16:42:40
Find|site_id:1262|Domain:01print.ru|Page:01print.ru/|Find string:End|Date:2016-12-09 16:42:37
Find|site_id:1260|Domain:01pr.ru|Page:01pr.ru|Find string:ajax|Date:2016-12-09 16:42:36
Find|site_id:1257|Domain:01pmsspb.ru|Page:01pmsspb.ru/uslugi/protivopozharnaya-produkciya-avstrijskoj-firmy-intumex/intumex-rs10/|Find string:End|Date:2016-12-09 16:42:34
Find|site_id:1258|Domain:01polim.ru|Page:01polim.ru|Find string:End|Date:2016-12-09 16:42:34
Find|site_id:1256|Domain:01plan.ru|Page:01plan.ru|Find string:End|Date:2016-12-09 16:42:20
Find|site_id:1253|Domain:01piter.ru|Page:01piter.ru|Find string:End|Date:2016-12-09 16:42:00
Find|site_id:1250|Domain:01pesok.ru|Page:01pesok.ru/shheben-vtorichnyj|Find string:End|Date:2016-12-09 16:41:57
